Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Senior Executive - Underwriting Division,['Hà Nội'],01/12/2024,Bảo hiểm,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,30/12/2024,CÔNG TY TNHH BẢO HIỂM PHI NHÂN THỌ MSIG VIỆT NAM,"Tầng 10, tòa nhà Corner Stone, 16 Phan Chu Trinh, Hoàn Kiếm, Hà Nội",Ms Huyền,100-499,100% vốn nước ngoài
Chuyên viên quản lý chất lượng dịch vụ bảo hành,['Hà Nội'],01/12/2024,"Bán lẻ / Bán sỉ , Dịch vụ khách hàng",Nhân viên chính thức,11 Tr - 15 Tr VND,1 - 4 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN GREEN SPEED,"17 đường Đào Duy Từ, Khu phố Đông A, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Ms Thương,500-999,
Kỹ Sư Điện – Batcher Trạm Bê Tông,['Đồng Nai'],01/12/2024,"Điện / Điện tử / Điện lạnh , Sản xuất / Vận hành sản xuất , Xây dựng",Nhân viên chính thức,12 Tr - 15 Tr VND,,Nhân viên,30/12/2024,CÔNG TY TNHH SẢN PHẨM XÂY DỰNG DINGO,"KCN Nhơn Trạch I, xã Phú Hội, huyện Nhơn Trạch, tỉnh Đồng Nai",Ms. Diana,,Trách nhiệm hữu hạn
Quản lý cửa hàng thời trang nữ,"['Hải Phòng', 'Thái Nguyên', 'Phú Thọ']",01/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Lên đến 15 Tr VND,Trên 2 Năm,Trưởng nhóm / Giám sát,30/12/2024,CÔNG TY CỔ PHẦN BW JAPAN,"170 Đê La Thành, Đống Đa, Hà Nội",HR Cardina,100-499,Cổ phần
KẾ TOÁN CÔNG NỢ,['Hà Nội'],01/12/2024,"Hành chính / Thư ký , Tài chính / Đầu tư , Kế toán / Kiểm toán",Nhân viên chính thức,Trên 12 Tr VND,Trên 1 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHỆ THỰC PHẨM HOÀNG LÂM,"No01.LK03-04, khu đất dịch vụ cây Quýt, KĐT Văn Khê, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",Chị Hòa,100-499,Cổ phần
Deputy Manager - Banca Business Development Department,['Hà Nội'],01/12/2024,"Bảo hiểm , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,7 - 10 Năm,Quản lý,30/12/2024,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ MB AGEAS,"Tòa nhà VINACONEX, tầng 4, số 34 Láng Hạ, Đống Đa, Hà Nội",Ms Hà,100-499,Liên doanh
Kỹ Sư thiết kế cơ khí/Mechanical Design Engineer,['Đồng Nai'],01/12/2024,Cơ khí / Ô tô / Tự động hóa,Nhân viên chính thức,12 Tr - 15 Tr VND,Lên đến 5 Năm,Nhân viên,30/12/2024,CÔNG TY TNHH VMS ENGINEERING,"Đường N1, Lô D, KCN Lộc An- Bình Sơn, xã Long an, huyện Long thành, tỉnh Đồng Nai",Huế Đào,100-499,100% vốn nước ngoài
Deputy Manager - Banca Sales force Management and Training Department,['Hà Nội'],01/12/2024,"Bảo hiểm , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,7 - 10 Năm,Quản lý,30/12/2024,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ MB AGEAS,"Tòa nhà VINACONEX, tầng 4, số 34 Láng Hạ, Đống Đa, Hà Nội",Ms Hà,100-499,Liên doanh
Chuyên Viên Nghiệp Vụ Đấu Thầu,['Hà Nội'],01/12/2024,Bảo hiểm,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,30/12/2024,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM BƯU ĐIỆN,"95 Trần Thái Tông, Dịch Vọng, Cầu Giấy, Hà Nội",Ms Thư,1.000-4.999,Cổ phần
NHÂN VIÊN Y TÁ,['Đồng Nai'],01/12/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,30/12/2024,CÔNG TY TNHH INZI VINA,"Lô 220, Đường 10, KCN Amata, P. Long Bình, TP. Biên Hòa, Đồng Nai",HR Dept,1.000-4.999,100% vốn nước ngoài
Nhân Viên Kho,['Hà Nội'],01/12/2024,"Sản xuất / Vận hành sản xuất , Vận chuyển / Giao nhận / Kho vận",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRẦN GIA,"Đại Lộ, Ninh Sở, Thường Tín, Hà Nội",Trangiafurniture,100-499,Cổ phần
Nhân viên kế hoạch vật tư,['Bình Dương'],01/12/2024,"Vận chuyển / Giao nhận / Kho vận , Thu mua / Vật tư",Nhân viên chính thức,9 Tr - 10 Tr VND,Trên 1 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần
Kỹ sư chất lượng,"['Hà Nội', 'Hải Phòng']",01/12/2024,Xây dựng,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN FECON,"Tầng 15, tòa nhà CEO, lô HH2-1, KĐT Mễ Trì Hạ, đường Phạm Hùng, Phường Mễ Trì, Q.Nam Từ Liêm",Phòng Nhân Sự,1.000-4.999,Cổ phần
Chuyên viên Pháp chế,['Bình Dương'],01/12/2024,"Luật / Pháp lý , Quản lý điều hành , Nhân sự",Nhân viên chính thức,13 Tr - 18 Tr VND,2 - 15 Năm,Trưởng nhóm / Giám sát,30/12/2024,CÔNG TY CỔ PHẦN TÔN ĐÔNG Á,"Số 5 Đường Số 5, KCN Sóng Thần 1, Dĩ An, Bình Dương",Mr Hồng Quân,1.000-4.999,Cổ phần
NHÂN VIÊN THU MUA,['Đồng Nai'],01/12/2024,"Sản xuất / Vận hành sản xuất , Thu mua / Vật tư , Tài chính / Đầu tư","Nhân viên chính thức, Thời vụ/ Nghề tự do",15 Tr - 18 Tr VND,1 - 2 Năm,Nhân viên,30/12/2024,CÔNG TY TNHH DECHANG VIỆT NAM,"nhà xưởng C1, C2, C3, B3, B4, 11, 12, 12A, 14, 15, 16 Đường số 1, KCN Giang Điền, Xã Giang Điền, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",Ngọc Hiền,25-99,Trách nhiệm hữu hạn
"[C8] Nhân viên chăm sóc khách hàng ngân hàng TPBank (Đội Cấn, Ngoại Giao Đoàn, Lê Ngọc Hân )",['Hà Nội'],01/12/2024,"Luật / Pháp lý , Hóa học",Nhân viên chính thức,7 Tr - 9 Tr VND,,Nhân viên,30/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài
HÀNH CHÍNH NHÂN SỰ (DNDA),['Cao Bằng'],01/12/2024,"Hành chính / Thư ký , Nhân sự",Nhân viên chính thức,9 Tr - 12 Tr VND,Trên 1 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐÈO CẢ,"32 Thạch Thị Thanh, P. Tân Định, Quận 1, TP. HCM",BP. Tuyển dụng,5.000-9.999,Cổ phần
Chuyên viên HelpDesk,['Hà Nội'],01/12/2024,CNTT - Phần cứng / Mạng,Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN CHỨNG KHOÁN SÀI GÒN - HÀ NỘI,"Tầng 3, Tòa nhà Trung tâm Hội nghị Công đoàn, Số 1 Yết Kiêu, Hoàn Kiếm",Phòng nhân sự,100-499,Cổ phần
Trade Marketing,['Hà Nội'],01/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,12 Tr - 18 Tr VND,2 - 4 Năm,Nhân viên,30/12/2024,CÔNG TY TNHH THIÊN THỦY MỘC,"Tòa nhà VMT, ngõ 82 Duy Tân, Cầu Giấy, Hà Nội",Công ty TNHH TM Thiên Thủy Mộc,100-499,Cổ phần
"Triển khai vận hành HN (không áp doanh số, Lương cứng 9-13tr + thưởng)",['Hà Nội'],01/12/2024,"Nhân sự , Dịch vụ khách hàng , Tiếp thị trực tuyến",Nhân viên chính thức,9 Tr - 13 Tr VND,Trên 1 Năm,Nhân viên,30/12/2024,CÔNG TY CP TẬP ĐOÀN CÔNG NGHỆ QUẢNG ÍCH,"Z5-46 TTTM LePARC, KM 1,5 Pháp Vân, CV Yên Sở, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",Ms. Dương,100-499,Cổ phần
Phó phòng Kế toán Doanh nghiệp Dự án,['Cao Bằng'],01/12/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,18 Tr - 25 Tr VND,Trên 5 Năm,Trưởng nhóm / Giám sát,30/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐÈO CẢ,"32 Thạch Thị Thanh, P. Tân Định, Quận 1, TP. HCM",BP. Tuyển dụng,5.000-9.999,Cổ phần
QUẢN LÝ VẬN HÀNH TRƯỜNG HỌC (Bến Cát - Bình Dương),['Bình Dương'],01/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,30/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,500-999,Cổ phần
TRƯỞNG PHÒNG QUẢN LÝ DỰ ÁN NỘI THẤT,['Hà Nội'],01/12/2024,Quản lý điều hành,Nhân viên chính thức,18 Tr - 30 Tr VND,Trên 2 Năm,Trưởng nhóm / Giám sát,30/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRẦN GIA,"Đại Lộ, Ninh Sở, Thường Tín, Hà Nội",Trangiafurniture,100-499,Cổ phần
Nhân viên Phiên dịch tiếng Nhật (N2),['Bắc Ninh'],01/12/2024,"Cơ khí / Ô tô / Tự động hóa , Biên phiên dịch",Nhân viên chính thức,13 Tr - 18 Tr VND,Lên đến 1 Năm,Nhân viên,30/12/2024,CÔNG TY TNHH ĐIỆN NISSIN VIỆT NAM,"Số 7 đường TS11 Khu công nghiệp Tiên Sơn, Xã Hoàn Sơn, Huyện Tiên Du, Bắc Ninh",HR,100-499,Trách nhiệm hữu hạn
Chuyên viên Tuyển dụng,['Hà Nội'],01/12/2024,"Giáo dục / Đào tạo , Hành chính / Thư ký , Nhân sự",Nhân viên chính thức,9 Tr - 12 Tr VND,2 - 3 Năm,Nhân viên,30/12/2024,CÔNG TY TNHH PHÁT TRIỂN GIÁO DỤC VÀ HỢP TÁC QUỐC TẾ THANHMAIHSK,"5TM1-14Khu ĐT The Manor Central Park, Nguyễn Xiển, Hoàng Mai, Hà Nội",Nguyễn Thu Thảo,100-499,Trách nhiệm hữu hạn
Nhân viên phiên dịch tiếng Trung tại Bắc Ninh,['Bắc Ninh'],01/12/2024,"Biên phiên dịch , Xây dựng , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,13 Tr - 20 Tr VND,Trên 1 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN CƠ ĐIỆN VÀ PCCC THĂNG LONG,"Số 79 đường Hồ Mễ Trì, Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Phòng Nhân Sự,100-499,Cổ phần
Nhân viên tuyển dụng part time tại Hà Nội,['Hà Nội'],30/11/2024,Hành chính / Thư ký,"Bán thời gian, Thực tập",3 Tr - 5 Tr VND,,Sinh viên/ Thực tập sinh,29/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN VIỆT ANH,"Số 1, Ngõ 95 Chùa Bộc, Đống Đa, Hà Nội",Trịnh Thị Thuỳ,500-999,Cổ phần
NHÂN VIÊN KINH DOANH BẤT ĐỘNG SẢN tại Hà Nội,['Hà Nội'],30/11/2024,"Bán hàng / Kinh doanh , Bất động sản , Tư vấn",Nhân viên chính thức,15 Tr - 30 Tr VND,,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN VIỆT ANH,"Số 1, Ngõ 95 Chùa Bộc, Đống Đa, Hà Nội",Trịnh Thị Thuỳ,500-999,Cổ phần
Production Manager,['Đà Nẵng'],30/11/2024,Dệt may / Da giày / Thời trang,Nhân viên chính thức,20 Tr - 25 Tr VND,3 - 7 Năm,Quản lý,29/12/2024,,,,,
Tổ Trưởng Sản Xuất,['Hà Nội'],30/11/2024,"Quản lý điều hành , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,10 Tr - 12 Tr VND,,Trưởng nhóm / Giám sát,29/12/2024,CÔNG TY TNHH THỰC PHẨM CUỘC SỐNG,"Trụ sở công ty: Khu công nghiệp Thạch Thất - Quốc Oai, xã Phùng Xá, huyện Thạch Thất, Hà Nội",ms Huong,,Trách nhiệm hữu hạn
[DAD] Nhân viên Phát triển kinh doanh,['Đà Nẵng'],30/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,6 Tr - 18 Tr VND,1 - 2 Năm,Nhân viên,29/12/2024,AHAMOVE,"Lầu 1 Rivera Park, 7/28 Thành Thái, Phường 14, Quận 10, Thành phố Hồ Chí Minh",Phòng nhân sự,100-499,Cổ phần
Chuyên viên Content Marketing,['Hà Nội'],30/11/2024,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,15 Tr - 17 Tr VND,3 - 5 Năm,Nhân viên,29/12/2024,CÔNG TY CP IIG VIỆT NAM,"Trụ sở chính: Tòa nhà 75 Giang Văn Minh, Đội Cấn, Ba Đình, Hà Nội",Phòng Nhân sự - Tổ chức Giáo dục IIG Vietnam,100-499,Cổ phần
PHIÊN DỊCH TIẾNG TRUNG,['Tiền Giang'],30/11/2024,"Biên phiên dịch , Dệt may / Da giày / Thời trang , Mới tốt nghiệp / Thực tập",Nhân viên chính thức,9 Tr - 15 Tr VND,1 - 20 Năm,Nhân viên,29/12/2024,CÔNG TY TNHH GIÀY APACHE VIỆT NAM,"Lô 71A, 72A, 78A, 79, 127B, 128A, 128B, 128C – KCN Long Giang, Tân Lập 1, Tân Phước, Tiền Giang",Phòng Nhân Sự,5500,100% vốn nước ngoài
Trưởng nhóm Marketing Planner,['Hà Nội'],30/11/2024,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,20 Tr - 25 Tr VND,5 - 10 Năm,Trưởng nhóm / Giám sát,29/12/2024,CÔNG TY CP IIG VIỆT NAM,"Trụ sở chính: Tòa nhà 75 Giang Văn Minh, Đội Cấn, Ba Đình, Hà Nội",Phòng Nhân sự - Tổ chức Giáo dục IIG Vietnam,100-499,Cổ phần
Nhân viên Nhân sự tổng hợp,['Hà Nội'],30/11/2024,"Bán lẻ / Bán sỉ , Dược phẩm , Nhân sự",Nhân viên chính thức,7 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,29/12/2024,CÔNG TY TNHH THÙY DƯƠNG AESTHETICALLY YOURS,"95/5A Ấp 5, Xã Xuân Thới Thượng, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",HR TDAY,25-99,Trách nhiệm hữu hạn
Regional Legal Manager,['Hà Nội'],30/11/2024,"Bán lẻ / Bán sỉ , Luật / Pháp lý , Quản lý điều hành",Nhân viên chính thức,"1,500 - 2,000 USD",Trên 3 Năm,Giám đốc,29/12/2024,CÔNG TY TNHH ANTA SPORTS VIỆT NAM,"Phòng 612, Tầng 6, Tòa nhà Friendship, Số 31, Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam, Quận 1, TP Hồ Chí Minh",Phòng Nhân sự,100-499,Trách nhiệm hữu hạn
Nhân viên Kế toán,['Bắc Ninh'],30/11/2024,"Bán lẻ / Bán sỉ , Kế toán / Kiểm toán",Nhân viên chính thức,Lên đến 15 Tr VND,Trên 2 Năm,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN BẢO TÍN MẠNH HẢI,"Số 39, Nguyễn Trãi, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Ms. Mai,100-499,Cổ phần
Trưởng nhóm PR,['Hà Nội'],30/11/2024,"Tiếp thị / Marketing , Giáo dục / Đào tạo , Truyền hình / Báo chí / Biên tập",Nhân viên chính thức,20 Tr - 22 Tr VND,5 - 10 Năm,Trưởng nhóm / Giám sát,29/12/2024,CÔNG TY CP IIG VIỆT NAM,"Trụ sở chính: Tòa nhà 75 Giang Văn Minh, Đội Cấn, Ba Đình, Hà Nội",Phòng Nhân sự - Tổ chức Giáo dục IIG Vietnam,100-499,Cổ phần
[MATK] Trưởng phòng IE,['Nghệ An'],30/11/2024,"Sản xuất / Vận hành sản xuất , Dệt may / Da giày / Thời trang , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Quản lý,29/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN MINH ANH,"19-21 D5A Biệt thự Vườn đào, Phú Thượng, Tây Hồ, Hà Nội",Mian Group tuyển dụng,10.000-19.999,Cổ phần
[Tây Ninh] Chuyên Viên Pháp Lý Dự Án,['Tây Ninh'],30/11/2024,"Luật / Pháp lý , Kiến trúc , Xây dựng",Nhân viên chính thức,15 Tr - 20 Tr VND,3 - 4 Năm,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN HÙNG NHƠN,"Tầng 2, số 07 Đường D2 Khu dân cư phức hợp sông Sài Gòn, số 92 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TP.HCM, Việt Nam",P.HCNS,1.000-4.999,Cổ phần
Nhân viên Marketing tổng hợp (Branding),['Hà Nội'],30/11/2024,Tiếp thị / Marketing,Nhân viên chính thức,11 Tr - 14 Tr VND,2 - 5 Năm,Nhân viên,29/12/2024,CÔNG TY TNHH THÙY DƯƠNG AESTHETICALLY YOURS,"95/5A Ấp 5, Xã Xuân Thới Thượng, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",HR TDAY,25-99,Trách nhiệm hữu hạn
Chuyên viên cao cấp Quan hệ nhà đầu tư (IR),['Hà Nội'],30/11/2024,"Bất động sản , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,5 - 7 Năm,Quản lý,29/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ VĂN PHÚ - INVEST,Tòa nhà Văn Phú - Số 104 Thái Thịnh - Trung Liệt - Đống Đa - Hà Nội,Ban Quản trị Nguồn Nhân lực,,Cổ phần
Sales And Marketing Officer,[],,,,,,,,,,,,
Chuyên Viên Quay Dựng,['Hà Nội'],30/11/2024,"Truyền hình / Báo chí / Biên tập , Tổ chức sự kiện , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,29/12/2024,CÔNG TY CP CHỨNG KHOÁN VNDIRECT,"HO: Số 1 Nguyễn Thượng Hiền, Hai Bà Trưng, Hà Nội. CN.HCM: 90 Pasteur, P. Bến Nghé, Q1",Phòng Nhân Sự,,Cổ phần
GIÁM SÁT LỄ TÂN,['Hà Nội'],30/11/2024,"Quản lý điều hành , Nhà hàng / Khách sạn","Nhân viên chính thức, Bán thời gian, Thời vụ/ Nghề tự do, Thực tập",16 Tr - 20 Tr VND,1 - 3 Năm,Trưởng nhóm / Giám sát,29/12/2024,CÔNG TY CỔ PHẦN A25 HOTEL,"Số 98 Sơn Tây, Kim Mã, Ba Đình, Hà Nội",HR Dept,1.000-4.999,Cổ phần
Nhân viên kho khách sạn,['Hà Nội'],30/11/2024,"Vận chuyển / Giao nhận / Kho vận , Nhà hàng / Khách sạn",Nhân viên chính thức,10 Tr - 17 Tr VND,1 - 2 Năm,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN A25 HOTEL,"Số 98 Sơn Tây, Kim Mã, Ba Đình, Hà Nội",HR Dept,1.000-4.999,Cổ phần
Chuyên Viên Phát Triển Kinh Doanh VAS,['Hà Nội'],30/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,12 Tr - 20 Tr VND,Trên 2 Năm,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI QUỐC TẾ ICOM,"Số 17/95 Trần Thái Tông, Dịch Vọng, Cầu Giấy, Hà Nội",P.HCNS,100-499,Cổ phần
Kế Toán Kiêm Thủ Kho Công Trình Xây Dựng [Làm việc tại Đan Phượng],['Hà Nội'],30/11/2024,"Vận chuyển / Giao nhận / Kho vận , Kế toán / Kiểm toán , Xây dựng",Nhân viên chính thức,10 Tr - 13 Tr VND,Trên 1 Năm,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THIÊN ÂN,Tòa nhà XPhome Star - Khu đô thị Tân Tây Đô - Đan Phượng - Hà Nội,Mrs Tuyết,100-499,Cổ phần
CHUYÊN VIÊN QUẢN TRỊ RỦI RO DANH MỤC,['Hà Nội'],30/11/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,29/12/2024,CÔNG TY TÀI CHÍNH BƯU ĐIỆN,Số 3 Đặng Thái Thân - Phường Phan Chu Trinh - Quận Hoàn Kiếm - Thành Phố Hà Nội.,Phòng Thu hút nhân tài,1.000-4.999,Trách nhiệm hữu hạn
Nhân Viên Kinh Doanh Horeca Nghệ An,['Nghệ An'],30/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,15 Tr - 20 Tr VND,,Nhân viên,29/12/2024,CÔNG TY TNHH THỰC PHẨM SẠCH THƯƠNG MẠI T&P,"Số 25A phố Gia Quất, phường Thượng Thanh, Long Biên, Hà Nội",Bộ phận tuyển dụng,100-499,Trách nhiệm hữu hạn
Giám đốc khách sạn 4 sao,['Hà Nội'],30/11/2024,"Dịch vụ khách hàng , Quản lý điều hành , Nhà hàng / Khách sạn",Nhân viên chính thức,30 Tr - 50 Tr VND,3 - 5 Năm,Giám đốc,29/12/2024,CÔNG TY CỔ PHẦN A25 HOTEL,"Số 98 Sơn Tây, Kim Mã, Ba Đình, Hà Nội",HR Dept,1.000-4.999,Cổ phần
"Nhân viên Bảo trì (Điện, Điện lạnh)",['Cần Thơ'],30/11/2024,"Y tế / Chăm sóc sức khỏe , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,29/12/2024,BỆNH VIỆN ĐA KHOA QUỐC TẾ S.I.S CẦN THƠ-CN CÔNG TY TNHH ĐẦU TƯ Y TẾ VIỆT CƯỜNG,"397 Nguyễn Văn Cừ, P. An Bình, Q. Ninh Kiều, TP. Cần Thơ",Phòng Nhân Sự,100-499,Cổ phần
Nhân viên lái xe tải,['Hà Nội'],30/11/2024,Vận chuyển / Giao nhận / Kho vận,Nhân viên chính thức,12 Tr - 20 Tr VND,,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN A25 HOTEL,"Số 98 Sơn Tây, Kim Mã, Ba Đình, Hà Nội",HR Dept,1.000-4.999,Cổ phần
Trưởng Phòng Marketing (CRM),['Hà Nội'],30/11/2024,"Tiếp thị / Marketing , CNTT - Phần mềm",Nhân viên chính thức,25 Tr - 30 Tr VND,4 - 10 Năm,Quản lý,29/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,"Số 1 Trần Nguyên Đán, KĐT mới Định Công, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",Bộ Phận Tuyển Dụng,100-499,Cổ phần
Nhân viên giao nhận Xưởng giặt là,['Hà Nội'],30/11/2024,"Vận chuyển / Giao nhận / Kho vận , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,"9,5 Tr - 16 Tr VND",,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN A25 HOTEL,"Số 98 Sơn Tây, Kim Mã, Ba Đình, Hà Nội",HR Dept,1.000-4.999,Cổ phần
Nhân viên giặt là,['Hà Nội'],30/11/2024,"Nhà hàng / Khách sạn , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,"9,5 Tr - 16 Tr VND",,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN A25 HOTEL,"Số 98 Sơn Tây, Kim Mã, Ba Đình, Hà Nội",HR Dept,1.000-4.999,Cổ phần
CHUYÊN VIÊN CHÍNH THU HÚT NHÂN TÀI,['Hà Nội'],30/11/2024,Nhân sự,Nhân viên chính thức,16 Tr - 18 Tr VND,Trên 3 Năm,Nhân viên,29/12/2024,CÔNG TY TÀI CHÍNH BƯU ĐIỆN,Số 3 Đặng Thái Thân - Phường Phan Chu Trinh - Quận Hoàn Kiếm - Thành Phố Hà Nội.,Phòng Thu hút nhân tài,1.000-4.999,Trách nhiệm hữu hạn
Nhân viên Tự động hóa 自動化技術員(Long Khánh),['Đồng Nai'],30/11/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,29/12/2024,CÔNG TY TNHH QUỐC TẾ KIM BẢO SƠN (VIỆT NAM),"KCN Giang Điền, Đường số 9, Xã An Viễn, Huyện Trảng Bom, Tỉnh Đồng Nai.",HR Dept of KBS & SHC,1.000-4.999,100% vốn nước ngoài
Trưởng Phòng Quản Lý Dự Án,['Hà Nội'],30/11/2024,Quản lý điều hành,Nhân viên chính thức,18 Tr - 30 Tr VND,Trên 2 Năm,Trưởng nhóm / Giám sát,29/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRẦN GIA,"Đại Lộ, Ninh Sở, Thường Tín, Hà Nội",Trangiafurniture,100-499,Cổ phần
Nhân Viên Marketing Ads,['Hà Nội'],30/11/2024,"Bán hàng / Kinh doanh , Quảng cáo / Đối ngoại / Truyền Thông , Tổ chức sự kiện",Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,29/12/2024,,,,,
Nhân viên Content Marketing,['Hà Nội'],30/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,9 Tr - 12 Tr VND,Trên 1 Năm,Nhân viên,29/12/2024,CÔNG TY TNHH DƯỢC PHẨM QUỐC TẾ AMM - GERMANY,"Số 2 Ngách 90/1/42, Tổ 9, Đường Khuyến Lương, Phường Trần Phú, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam.",Phòng Nhân sự,25-99,Trách nhiệm hữu hạn
