Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
PROJECT MANAGER RENEWABLE ENEGRY,['Hồ Chí Minh'],25/11/2024,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,Trên 20 Tr VND,Trên 3 Năm,Quản lý,24/12/2024,CÔNG TY CỔ PHẦN INDEFOL SOLAR,"200B Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, TP Hồ Chí Minh.",Phòng HR,100-499,Công ty đa quốc gia
TEAMBUILDING SUPERVISOR,['Hồ Chí Minh'],25/11/2024,"Du lịch , Quảng cáo / Đối ngoại / Truyền Thông , Tổ chức sự kiện",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,24/12/2024,BS GROUP,"10 Đường số 18, KDC Him Lam, Phường Tân Hưng, Quận 7",Phòng Nhân Sự,25-99,Cổ phần
Chuyên Viên Thiết Kế Đồ Hoạ,['Hồ Chí Minh'],25/11/2024,Mỹ thuật / Nghệ thuật / Thiết kế,Nhân viên chính thức,Cạnh tranh,,Nhân viên,24/12/2024,CÔNG TY TNHH SẢN XUẤT- THƯƠNG MẠI- DỊCH VỤ ĐÀI PHONG,"Số 382 , đường số 1, Phường Bình Trị Đông B, Quận Bình Tân, TP Hồ Chí Minh",HR,10-20,Trách nhiệm hữu hạn
Chuyên viên Quan hệ Khách hàng Doanh nghiệp (Toàn quốc),"['Hồ Chí Minh', 'Khánh Hòa', 'Hải Phòng']",25/11/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,24/12/2024,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,5.000-9.999,Cổ phần
Trình dược viên ETC,"['Hà Nội', 'Hồ Chí Minh']",24/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,Trên 7 Tr VND,Trên 1 Năm,Nhân viên,23/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN Y DƯỢC VIETLIFE,"Dự án bệnh viện đa khoa Thanh Xuân , ngách 228, ngõ 192 Lê Trọng Tấn, Thanh Xuân, Hà Nội",Phòng Nhân sự,100-499,Cổ phần
Nhân Viên Tiếp Thị Khóa Học - Gò Vấp,['Hồ Chí Minh'],24/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Tiếp thị trực tuyến",Nhân viên chính thức,7 Tr - 10 Tr VND,,Nhân viên,23/12/2024,WALL STREET ENGLISH,"21 Lê Qúy Đôn, Q. 3",Wall Street English,100-499,Trách nhiệm hữu hạn
Senior Key Account Executive,['Hồ Chí Minh'],23/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên,22/12/2024,CÔNG TY TNHH ONPOINT,"Tầng 4, Tòa nhà AB, 27B Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",HR Department,50-200,Trách nhiệm hữu hạn
Sale Executive / Nhân Viên Kinh Doanh,['Hồ Chí Minh'],23/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,22/12/2024,CÔNG TY TNHH TM DV 20S FACTORY,"Tòa nhà Rivergate, số 155 Bến Vân Đồn, Phường 6, Quận 4, TPHCM",BỘ PHẬN NHÂN SỰ,10-20,Trách nhiệm hữu hạn
Chuyên Viên Tư Vấn Giáo Dục (Ocean Edu Thoại Ngọc Hầu),['Hồ Chí Minh'],22/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,12 Tr - 13 Tr VND,,Nhân viên,21/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,,Cổ phần
Sales B2B - Software,['Hồ Chí Minh'],22/11/2024,CNTT - Phần mềm,Nhân viên chính thức,Lên đến 40 Tr VND,Trên 3 Năm,Trưởng nhóm / Giám sát,21/12/2024,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,"Pax Sky Tower, 159C Đường Đề Thám, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Ms Nhung,,Trách nhiệm hữu hạn
